name,family name,gender,country,birth year,treatment,X1,X2,X3,X4,X5,Y
Alma,Delija,F,AL,1977,0,43,8.688179826894208,2.1579273502522516,7.437498260227079,7.0,69.15852729628244
Julsid,Julsid,M,AL,1977,0,43,3.8031492823477504,-0.7190379805649731,7.207719611682353,7.0,-12.546177599224041
Xhefri,Macuku,M,AL,2019,1,1,6.576362797939691,0.013216594708477773,6.964712686242896,7.0,-1.199830955659345
Nora,So,F,AL,1949,0,71,8.478439112936233,-0.49945180165304387,6.74035995839571,7.0,-18.39352309707992
Mimoza,Kraja,F,AL,1958,1,62,11.435909756375535,2.4701191814383776,6.573031509255341,7.0,148.38517349102435
Anisa,Ani,F,AL,2001,0,19,12.495018740048423,4.585909931291665,6.977405088126922,7.0,215.51780560462484
Noel Joan,Hoxha,M,AL,1977,1,43,8.096493963159135,0.4942267026926286,6.461187700725393,7.0,42.91050229826797
Naim,Vata,M,AL,1949,1,71,8.007957304324753,0.4258225241227181,6.822134115399544,7.0,60.38225980581498
Reni,Reni,M,AL,2019,0,1,10.595654537609226,2.3787292368098854,6.762982018142542,7.0,93.4811549040524
Arber,Alimucaj,M,AL,1958,1,62,8.330057503369705,1.4686326324141465,6.963917152798151,7.0,87.65805093721826
Anxhela,Noel,F,AL,2019,1,1,6.90972431751289,1.312285963781968,7.055855797077539,7.0,32.95511743426718
Andrea,Darragjati,M,AL,1977,0,43,4.58436342751347,-0.17687067369757722,7.114463276540207,7.0,-5.26450435694554
Klea,Prena,F,AL,1977,0,43,11.719495221953505,1.8250775327084185,6.776746236129472,7.0,78.98784578951656
Enkeleda,Nako,F,AL,2001,0,19,8.289252634452817,1.0261665511400935,6.743069626642985,7.0,30.02211795424067
Xhoni,Cardaku,M,AL,2001,1,19,5.148813853170247,1.31265239657832,7.378930206747179,7.0,36.8796738800914
Enerida,Çela,F,AL,1977,1,43,9.496839281337769,2.14515235557263,6.8772840825745,7.0,105.25632758930624
Edison,Xhavara,M,AL,1977,1,43,7.548363986938608,-0.7513111983153511,7.047916622074272,7.0,6.345563037894134
