name,family name,gender,country,birth year
Najres,Emuk,M,AL,1965
Sebastian,Kroi,M,AL,1995
Desi,Mata,F,AL,1995
Ramirez,Varvarica,M,AL,1953
Vasil,Cipaj,M,AL,1995
Jocelyn Ambroise,Leontine Genevieve,F,AL,1995
Sara,Lakti,F,AL,1995
Un Ti,Zemer,M,AL,2002
Anida,Bylyku,F,AL,1953
Inn,Drit,M,AL,1995
Violeta,Kule,,AL,1995
Fabio,Sera,M,AL,1995
Gezim,Fier,,AL,1995
Hava,Kapedani,F,AL,1965
Majlinda,Muharremi,F,AL,1995
Aleksandro,Llanaj,M,AL,1995
Hotm,Groupin,M,AL,1995
Ndricim,Islamaj,M,AL,2010
Ana,Shehaj,F,AL,1995
Lina,Nina,M,AL,2010
Shqipe,Pasmaciu,F,AL,2010
Enis Domni,Mbattista,M,AL,2010
Jeti,Zagradi,M,AL,1995
Ylli,Bici,M,AL,1995
Veri,Percja,M,AL,1953
Visar,Haxhiaj,,AL,1995
Viola,Ola,F,AL,2010
Naim,Hoxha,M,AL,1995
Ôrgest,Cenolli,M,AL,1965
Alma,Shyti,,AL,1995
Xhilda,Brace,F,AL,1953
Enea,Muca,M,AL,2002
Neli,Ili,M,AL,1953
Vasilis,Nikas,M,AL,2002
Maksim,Collaku,M,AL,1995
Vebi,Subashi,M,AL,1995
Lsi,Lsi,M,AL,2002
Astrit,Meleqi,M,AL,1995
Andi,Muja,M,AL,2002
Manjola,Beqo Banaj,F,AL,2002
Veli,Bezati,M,AL,1995
Teuta,Guri,F,AL,2010
Ervin,Vini,,AL,1995
Ergela,Begolli Shani,F,AL,1965
Geg,Paloka,M,AL,1965
Katia,Çela,F,AL,2010
Zenel,Bunga,M,AL,2002
Aleks,Frroku,M,AL,1995
Mema,Mema,M,AL,2010
Jonader,Llapi,M,AL,1965
Rizan,Xhauri,M,AL,2010
Ledi,Doci,F,AL,1953
Menti,Menti,M,AL,1953
Gezim,Toma,M,AL,1965
Besjana,Sula,F,AL,1995
Gen,Touzi,M,AL,1995
Tim,Celhaka,M,AL,1995
Nebjon,Gjata,M,AL,2010
Lejla,Omeri,F,AL,1995
Pamela,Driza,F,AL,1995
