name,family name,gender,country,birth year
Ramiz,Mehmetaj,M,AL,1972
Jetmir,Vokrri,M,AL,1972
Xhoana,Durmishi,F,AL,2008
Amarildo,Ymeri,M,AL,1965
Lazer,Hebaj,M,AL,1972
Likjan,Kaceku,M,AL,1972
Avi,Metohu,M,AL,1972
Lenci,Kuka,M,AL,1953
Gjergj,Basha,M,AL,2008
Shpetim,Shkoder,M,AL,2008
Fimi,Tours,M,AL,1972
Roval,Lcj,,AL,2003
Elda,Allushi,F,AL,1965
Argent,Bajraktari,M,AL,2003
Kristi,Cucka,M,AL,1953
Gresa,Sinanasi,,AL,1965
Luis,Hoxha,M,AL,1953
Vera,Prenga,F,AL,2008
Alda,Progni,F,AL,2008
Ira,Osmenaj,F,AL,1972
Lulezim,Lekaj,M,AL,2008
Enkeleas,Koja,M,AL,1953
Ediljon,Jona,,AL,1972
Andi,Canameti,M,AL,2003
Jana,Tati,F,AL,2008
Majlinda,Mecja,F,AL,2008
Klea,Gega,F,AL,2003
Klif,Pzlne,M,AL,2008
Eri,Sufi,F,AL,1965
Tan,Dedja,,AL,1972
Shine,Mata,F,AL,1972
Gjinovefa,Xoxi,F,AL,2008
Artur,Cela,M,AL,1972
Endrit,Baçi,M,AL,1972
Sami,Memoci,M,AL,2008
Izmir,Reshiti,M,AL,2003
Sokol,Broshka,M,AL,1972
Tim,Alla,M,AL,1965
Alfons,Hila,M,AL,1972
Mira,Xhebexhiu,F,AL,2008
Geni,Geni,M,AL,1972
Bukurie,Gjetja,M,AL,1972
Katerina,Koçi,F,AL,1972
Bardhi,Cami,M,AL,2008
Qerim,Kaziu,M,AL,1972
Glejdi,Xherahi,M,AL,2008
Andu,Ella,F,AL,1953
Artan,Kallanxhi,M,AL,2008
Benard,Ismailaj,M,AL,1972
Qamil,Pergjegja,M,AL,1972
Roza,Gjikdhima,F,AL,1953
Tani,Berti,M,AL,2003
Erjon,Stavri,M,AL,2003
Kafka,Otr,M,AL,1953
Neim,Ballaxhia,M,AL,1953
Rigesta,Muhametaj,F,AL,1953
Klajdi,Nazeraj,M,AL,2008
Arber,Hoxha,M,AL,1972
Adi,Froku,M,AL,2003
Sinan,Doci,M,AL,2008
Mario,Sakaj,M,AL,2003
Niko,Rexhepi,F,AL,2008
Arber,Buzi,M,AL,2008
Tkam Fiksim,Tkam Fiksim,M,AL,1953
Luis,Suarez,M,AL,1972
Aleksander,Lilo,M,AL,2003
Aleks,Xhokola,M,AL,1972
Lulzim,Xhafaj,M,AL,1972
Albert,Kullolli,M,AL,2003
Fenomeni,Vockel,M,AL,2003
Sandri,Metushi,M,AL,2003
Gesti,Hyseni,M,AL,2003
Erald,Malko,M,AL,2008
Yean,Chis,F,AL,1965
Vlore,Vlore,M,AL,1965
Florant,Selko,M,AL,2008
Ardit,Berti,M,AL,2003
Mikel,Karaj,M,AL,1972
Nexhip,Sinani,M,AL,1972
Aldi,Progonati,M,AL,1972
Besi,Dedaj,M,AL,1972
Mario,Jangulli,M,AL,1972
Nojzi,Ocia,M,AL,1972
Reald,Lyte,M,AL,1972
Krist,Llogoni,M,AL,2003
Rudina,Matoshi,F,AL,1972
Mendi,Gjini,M,AL,1965
Ernest,Rudolf,M,AL,1965
Bajram,Doda,M,AL,2003
Sabina,Collaku,F,AL,1972
Fadil,Samuel,M,AL,1972
Deny,Sokoli,M,AL,1972
Mario,Bibba,M,AL,1972
Lindita,Prenga Ndreu,F,AL,1965
Rezarta,Dumi,F,AL,1972
Ardjan,Bibaj,M,AL,1972
Kristi,Proda,M,AL,1953
Erti,Zenuni,M,AL,1972
Eltjon,Oreti,,AL,2008
Asqeri,Kishta,F,AL,1972
Aurel,Capi,M,AL,2003
Myy,Lovee,,AL,1953
Artur,Celami,,AL,1972
Arben,Sinoni,M,AL,2003
Dylber,Dregjoni,,AL,1972
Lori,Malaj,F,AL,1972
Esti,Brami,M,AL,1953
Ti,Edi,M,AL,2003
Bledjan,Lila,M,AL,1965
Lajd,Nom,M,AL,2003
Rei,Myftari,M,AL,1965
Flamur,Lamja,M,AL,1965
Luk,Gjoni,M,AL,1972
Shpirti,Vogel,F,AL,2008
Cimi,Naska,M,AL,2008
Beni,Beni,M,AL,1972
Romeo,Pavdeja,M,AL,1953
Makineri Pvc,Albania,M,AL,1972
Klodi,Mita,M,AL,1965
Koco,Maca,M,AL,1972
Fatjon,Lleshi,M,AL,2003
Mirel,Cekani,M,AL,1972
Piku,Andrea,M,AL,1965
Kosta,Allanjaku,M,AL,2003
Luan,Mehmeti,M,AL,2003
Aldo,Ikeqi,M,AL,1972
Bledi,Vlorë,M,AL,1953
Besim,Deda,M,AL,1972
Rea,Rea,F,AL,2003
Besa,Hoxhaj,,AL,1972
Nikolli,Xhinamarko,F,AL,1972
Alesio,Isallari,M,AL,1972
Edlira,Koka,F,AL,1965
Robert,Hoxha,M,AL,1972
Alerta,Kadeli,F,AL,1972
Artur,Xhediku,M,AL,1972
Franka,Lezhja,F,AL,1965
Gesi,Mburimi,M,AL,2003
Hysen,Murati,M,AL,2008
Kledis,Makaj,M,AL,2008
Erio,Ni,M,AL,2008
Kesi,Kess,F,AL,1972
Mandi,Kaso,M,AL,1972
Lejdina,Çota,F,AL,1972
Dejvi,Bana,M,AL,1972
Krisa,Malaj,F,AL,1972
Liri,Opri,F,AL,1972
Danjel Dani,Gjoci,M,AL,1965
Halili,Xhemal,M,AL,2008
Klodi,Ndou,M,AL,1972
Merita,Gjecaj,F,AL,1953
Ermal,Isufi,M,AL,1953
Irma,Mullalli,F,AL,2003
Roxhersa,Polisi,F,AL,1953
Xheli,Toska,M,AL,2008
Eddie,Eddie,M,AL,2008
Eli,Xhebexhiu,F,AL,2003
Erjon,Pjetri,M,AL,1965
Perla,Mañùkâ,F,AL,1972
Vaid,Hoxha,M,AL,2003
Read,Doci,M,AL,1972
Mars,Dori,F,AL,1965
Erjona,Ibro,F,AL,2003
Naime,Berberi,F,AL,1972
Sebastian,Marku,M,AL,2008
Vilson,Osmanaj,M,AL,1972
Diana,Diana,F,AL,2008
Anila,Cyco,F,AL,1953
Jashar,Xhafa,M,AL,2003
Genc,Dragoni,M,AL,1953
Armando,Kurti,M,AL,1972
Xhevdet,Lleshi,M,AL,2003
Igli,Mustafaraj,M,AL,1965
Oriada,Boçi,F,AL,1953
Fatlinda,Nuriu,F,AL,1972
Aurel,Cako,M,AL,1972
Ca,Do,F,AL,1972
Elvira,Elvi,F,AL,2008
Lika,Hamzaj,F,AL,1972
Merita,Hase,F,AL,1972
Arkehean,Ailed,M,AL,1972
Alush,Musaku,M,AL,1953
Andi,Ferko,M,AL,1965
Adriatik,Qamili,M,AL,1972
Niku,Plepi,M,AL,2008
Devi,Hafisllari,M,AL,1953
Simon,Sokoli,M,AL,2003
Eni,Malui,,AL,2008
Roland,Caushi,M,AL,1972
Besnik,Kryeziu,M,AL,1965
Daniela,Osmeni,F,AL,1972
Xhoel,Mingaj,,AL,2003
Uliks,Halili,M,AL,2008
Dejvish,Shar,M,AL,2008
Kledi,Muca,M,AL,1972
Kela,Sulejmani,F,AL,2008
Elis,Kurti,M,AL,2008
Ana,Ana,,AL,1972
Sazan,Gjura,M,AL,2008
Ke,Vï,M,AL,1972
Andrea,Gyulavári,F,AT,1943
Nadja,Korner,F,AT,2007
Manuel,Langer,M,AT,1943
Martina,Kleinburger,F,AT,2007
Carmen,Wildeis,F,AT,1992
João,Fernandes,M,AT,2007
Ashley,Annette,F,AT,1992
Dagmara,Gelageieva,F,AT,1992
Sophia,Schlager,F,AT,2001
Bashir,Ahmad,M,AT,2001
Christian,Salleti,M,AT,1992
Milan,Pecikoza,M,AT,1992
Axel,Haack,,AT,2001
Eva,Hochsteiner,F,AT,1992
Rene,Tauber,M,AT,1992
Martin,Sillipp,,AT,2007
Endrit,Gashi,M,AT,2007
Nico,Gruber,M,AT,1943
Era,Jaha,F,AT,2007
Mario,Schlögl,M,AT,2001
Marina,Popova,F,AT,1992
Alina,Elisabeth,,AT,2007
Wiktorie,Salihu,F,AT,2001
Barbara,Kurz,F,AT,1992
Matthias,Dimmel,M,AT,1943
Seher,Turkan,F,AT,2007
Emran,Bajramoski,M,AT,1943
Eric,Moran,M,AT,1992
Marija,Lukić,F,AT,2007
Gerlinde,Voithofer,F,AT,1992
Ömer,Yaman,M,AT,1958
Alina,Chen,F,AT,1992
Jan,Gagorik,M,AT,1943
Melih,Sengül,M,AT,1992
Stevanovic,Nikola,M,AT,1992
Ines,Kondor,,AT,1992
Hubert,Wuerzlhuber,M,AT,2001
Karin,Lindorfer,F,AT,2001
Barbara,Kritsch,F,AT,2001
Alina,Kolbas,,AT,2007
Radmila,Karadzic,F,AT,1958
Robert,Waltner,M,AT,2007
Daniela,Hattenberger,F,AT,1992
Katharina,Anna,F,AT,1943
Sabine,Helpferer,F,AT,1943
Sylvia,Thiel,,AT,1943
Andrea,Wenzl,F,AT,1992
Sonu,Saroya,,AT,1943
Aras,Renas,M,AT,2007
Joe,Wallner,M,AT,1943
Florian,Karner,M,AT,1943
Necula,Madalina,F,AT,1943
Hermann,Fauland,M,AT,1992
Sigrid,Pilz,F,AT,2007
Brigitte,Wieser,F,AT,1943
Sebastian,Maier,M,AT,1958
Jasmin,Hotter,F,AT,2001
Thomas,Lamprecht,M,AT,2007
Veronika,Brandlhofer,F,AT,1943
Jasmin,Schag,F,AT,2007
Werner,Engelschall,M,AT,1943
