"name","family.name","gender","country","birth.year","treatment","X1","X2","X3","X4","X5","Y"
"Natascha","Blvck","F","AT",2004,0,16,4.49546862534938,8.83566386888778,7.22853561119211,1.44688936862078,4.45695510554915
"Wilfried","Giebens","M","BE",2019,1,1,7.16121240966701,8.91377969861198,6.5995658257454,0.867339492319577,9.57464134454707
"Romice","Omice","","CZ",2000,0,20,6.35653268724795,9.09823283508223,6.75686492970654,1.12135230583327,7.74686084887118
"Caroline","Mendez","F","FR",1964,1,56,6.87827246513594,8.59779892003185,6.42333563802584,0.787414722189613,52.5223792610365
"Maithe","Chapuis","F","FR",1979,0,41,5.7925962727157,8.29315299378669,7.40852151546677,1.57264980064046,6.24473002589642
"Magali","Hyvernat","F","FR",1979,1,41,6.71147389452616,9.63630518571998,6.69932029751344,-0.156439143918658,41.378204700517
"Abi","Raj","M","FR",1979,0,41,4.30602490080014,8.96228056584692,6.64998467124452,0.523118407836185,3.61145166880055
"José-Luis","Phémius","M","FR",2015,1,5,6.047160408254,7.81183922122815,6.36788407211876,1.08655076609304,9.436311008152
"Benedicte","Durand","F","FR",2015,0,5,3.45583424630669,8.89843385661809,7.0720803976843,1.78517511428635,2.73283661891836
"Geraldine","Petitpas","F","FR",1979,0,41,5.63598281649007,9.43342829271525,7.15163164405287,1.42194971925299,7.1041294372798
"Tsana","Malanda","F","FR",1940,1,80,4.94088713529774,8.83956365580434,7.39908802912569,2.39940343594091,69.6988889040228
"Fatma","Pole Nord","F","FR",1964,1,56,5.62259861659167,8.58131402622797,6.92330516626371,2.86579862956704,51.4008561686652
"سلطان","ولید","M","DE",1965,0,55,7.45677384607938,9.36427189511244,6.72424591724069,2.1147168750693,10.5284976648441
"Jean-Pierre","Weiß","M","DE",1981,0,39,4.79319791762546,7.62307899752711,7.07796128579923,0.920883836501989,3.54709654673634
"Christin","Müller","F","DE",1965,0,55,6.31330467558136,8.98785132069816,6.58824042403024,-0.450723386003376,6.82417831653549
"Michael","Stanglmayr","M","DE",1981,0,39,2.67018902570795,8.83979533712219,6.15338364818578,1.01401535776914,0.577397394499523
"Marius","Marius","M","DE",1981,0,39,4.96490929051018,9.18917066689207,6.48864048617312,2.24704142115678,5.63365542326424
"Jenny","Adams","F","DE",1965,0,55,5.47871435669638,9.31408302422941,7.62384908620397,-0.8168065054726,5.97296158943268
"Abdullah","Hacioglu","M","DE",1965,0,55,1.23545925853182,10.2926583830876,8.11589799355436,2.35255683859997,-0.234270685732799
